issue_number,appid,title,resolution_status,resolution_method,confidence_tier,routing_universe,linked_commits,cw_bug_ids,compat_flags,components,symptom_tags,tag_group
7248,2375550,Like a Dragon Gaiden: The Man Who Erased His Name (2375550),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
8543,3159330,Assassin's Creed Shadows (3159330),unaddressed,,-,unknown,,,,,Startup Crash,
5254,492230,Space Hulk: Tactics (492230),addressed,upstream_downstream,C,unknown,,,,,Black Screen Launch Failure,
8432,3314070,The Sims 2 Legacy Collection (3314070),unaddressed,,-,unknown,,,,,Game Feature Missing,
6554,668580,Atomic Heart (668580),unaddressed,,-,unknown,,,,,Cutscene Issue,
8948,1677740,Stumble Guys (1677740),unaddressed,,-,unknown,,,,,Freeze,
8236,2215490,Project Borealis: Prologue (2215490),partially_addressed,proton_update,B,graphics,,,,vkd3d-proton wine steam runtime,Launch Failure,
5531,1403370,Zenith: The Last City (1403370),unaddressed,,-,unknown,,,,,Voice Communication Issue,
5720,1475810,Ghostwire Tokyo (1475810),addressed,community_workaround,C,unknown,,,,,Black Screen Freeze Cutscene Issue,
5772,1063730,New World: Aeternum (1063730),unaddressed,,-,unknown,,,,,Stutter Loading/Saving Crash Game Feature Missing,
4682,306130,"Elder Scrolls Online, Zenimax Free Space Error / Directory Not Writable",unaddressed,,-,unknown,,,,,Installation Failure,
5903,964570,DCL The Game (964570),unaddressed,,-,unknown,,,,,Black Screen Launch Failure,
8964,1492730,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom (1492730),unaddressed,,-,unknown,,,,,Freeze In-game Crash,
6756,1940340,Darkest Dungeon II (1940340),unaddressed,,-,unknown,,,,,Black Screen In-game Crash,
5523,244850,Space Engineers (244850) crashes arbitrarily in faudio and SDL2,unaddressed,,-,unknown,,,,,In-game Crash,
8711,2525310,Drop Duchy (2525310),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
7116,464920,Surviving Mars (464920),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
5096,214950,Total War: Rome 2 Crashing during play,unaddressed,,-,unknown,,,,,In-game Crash,
6248,496240,Onward (496240),unaddressed,,-,unknown,,,,,Freeze Black Screen Launch Failure,
4907,1203220,NARAKA: BLADEPOINT (1203220),unaddressed,,-,unknown,,,,,Launch Failure,
5779,1244460,Jurassic World Evolution 2 (1244460),addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
5535,1343400,Runescape (1343400),partially_addressed,proton_update,B,wine,,,,wine,Startup Crash,
4975,416380,The Hurricane of the Varstray -Collateral hazard- (416380),addressed,proton_update,C,unknown,,,,,Black Screen,
8255,2537590,Microsoft Flight Simulator 2024 (2537590),addressed,proton_update,A,wine,273,,,DXVK vkd3d-proton wine,Cutscene Issue,
4527,37000,The Void (37000),addressed,proton_update,B,graphics,,,,DXVK wine d3d9 shader,In-game Crash,
5300,271590,GTA 5 will eventually crash,unaddressed,,-,unknown,,,,,In-game Crash,
7011,,Need For Speed III: Hot Pursuit (1998 not the remaster),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue Launch Failure,
8680,3112260,Virtua Fighter 5 R.E.V.O. (3112260),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
6235,1695793,Halo Reach Mod Tools - MCC (1695793),unaddressed,,-,unknown,,,,,Launch Failure,
5334,212910,Call of Duty: Black Ops II - Zombies (212910),addressed,upstream_downstream,C,unknown,,,heapdelayfree,,Freeze,
6502,1846380,Need for Speed Unbound (1846380),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure Launcher / Verification Issue,
5919,1195290,Moncage (1195290),addressed,proton_update,B,unknown,,,,dxgi video,Cutscene Issue,
5000,567630,Blood of Steel (567630),addressed,proton_update,B,wine,,,,wine kernel32,Launch Failure,
6618,1151740,Prison Princess (1151740),unaddressed,,-,unknown,,,,,Controller Issue,
8338,1834620,The Shore VR (1834620),unaddressed,,-,proton-wrapper,8c3e86c52c2baf75e04ea5d9cdd9b1c6c83161aa,,,,Launch Failure,
7276,1063590,Rogue Masters (1063590),unaddressed,,-,unknown,,,,,Low FPS In-game Crash Cutscene Issue,
